Time [s];Cella hõmérséklete [°C];Szoba hõmérséklete [°C]
430;23.79;23.88
430.4;23.79;23.88
430.8;23.79;23.88
431.2;23.79;23.88
431.6;23.79;23.88
432;23.79;23.88
432.5;23.79;23.88
432.9;23.79;23.88
433.3;23.79;23.79
433.7;23.79;23.88
434.1;23.79;23.88
434.5;23.79;23.88
434.9;23.79;23.88
435.3;23.79;23.88
435.7;23.79;23.79
436.1;23.79;23.79
436.5;23.79;23.79
436.9;23.79;23.79
437.3;23.79;23.79
437.8;23.79;23.79
438.2;23.79;23.79
438.6;23.79;23.79
439;23.79;23.79
439.4;23.79;23.79
439.8;23.79;23.79
440.2;23.79;23.79
440.6;23.79;23.79
441;23.88;23.79
441.4;23.79;23.79
441.8;23.79;23.79
442.2;23.79;23.79
442.6;23.79;23.79
443;23.79;23.79
443.5;23.79;23.79
443.9;23.79;23.79
444.3;23.88;23.79
444.7;23.88;23.79
445.1;23.79;23.79
445.5;23.79;23.79
445.9;23.79;23.79
446.3;23.88;23.79
446.7;23.79;23.79
447.1;23.79;23.79
447.5;23.79;23.7
447.9;23.79;23.7
448.3;23.79;23.79
448.8;23.79;23.7
449.2;23.79;23.7
449.6;23.79;23.7
450;23.79;23.79
450.4;23.79;23.7
450.8;23.79;23.7
451.2;23.79;23.7
451.6;23.79;23.7
452;23.79;23.7
452.4;23.79;23.7
452.8;23.79;23.7
453.2;23.88;23.7
453.6;23.88;23.7
454.1;23.79;23.7
454.5;23.79;23.7
454.9;23.88;23.7
455.3;23.79;23.7
455.7;23.88;23.7
456.1;23.79;23.7
456.5;23.79;23.7
456.9;23.88;23.7
457.3;23.88;23.7
457.7;23.88;23.7
458.1;23.79;23.7
458.5;23.88;23.7
458.9;23.88;23.7
459.4;23.79;23.7
459.8;23.79;23.7
460.2;23.88;23.7
460.6;23.88;23.7
461;23.88;23.62
461.4;23.88;23.7
461.8;23.88;23.7
462.2;23.79;23.7
462.6;23.79;23.7
463;23.88;23.7
463.4;23.88;23.7
463.8;23.88;23.7
464.3;23.79;23.62
464.7;23.88;23.7
465.1;23.88;23.62
465.5;23.79;23.7
465.9;23.88;23.62
466.3;23.88;23.62
466.7;23.88;23.62
467.1;23.88;23.62
467.5;23.88;23.62
467.9;23.88;23.62
468.3;23.79;23.62
468.7;23.88;23.62
469.1;23.88;23.62
469.6;23.88;23.62
470;23.88;23.62
470.4;23.88;23.62
470.8;23.88;23.62
471.2;23.79;23.62
471.6;23.88;23.62
